sv_name,oa_name,sv_id,oa_id,similarity_score
lloyd t elliott,john e elliott,48662120400,A5076714348,69
cameron scott,charles scott,57213693372,A5039664215,69
paul macdonald,margaret macdonald,58573429900,A5034867632,69
renjie wang,qi wang,57220783660,A5100341251,67
darren r grant,d grant,35427036600,A5107864583,67
jessica lee,monica lee,58701988800,A5057346446,67
sieun lee,ki‐young lee,36644393200,A5100719654,67
ken liu,b liu,57364393000,A5114378471,67
chunmei li,cheng li,55696026700,A5100354297,67
weiran sun,xiangyu sun,41862484700,A5060002954,67
mark lee,monica lee,57219825843,A5057346446,67
cameron j grant,darren grant,57211079732,A5031508239,67
tingan li,jia li,57210262931,A5100405681,67
weilian song,xiaowei song,57203210763,A5036261443,67
anqi chen,yuxi chen,57219394662,A5100764265,67
yungshan lee,ki‐young lee,54882053400,A5100719654,67
jing li,cheng li,57216939987,A5100354297,67
ze liu,helen liu,59535375500,A5101610756,67
