index,sv_name,oa_name,sv_id,oa_id,similarity_score
922,jiyuan li,chunmei li,57226157890,A5100427221,42
930,chae rim lee,ki‐young lee,57219309476,A5100719654,42
931,chae rim lee,daniel c lee,57219309476,A5100392989,42
675,shanna my li,ming li,57221738372,A5100351426,42
634,jiangchuan liu,b liu,59061428700,A5114378471,42
887,zhen lisa li,ming li,59197740200,A5100351426,42
862,zixuan li,chunmei li,57225184392,A5100427221,42
440,anny kim,woo soo kim,58090502900,A5000223592,42
344,steven w jin,dal yong jin,57192099460,A5041172302,42
746,michael pin chuan lin,feng lin,57200993050,A5101414835,41
469,jiangchuan chuan liu,helen liu,8969748600,A5101610756,41
399,barun kim,woo soo kim,57203171282,A5000223592,40
474,kelley lee,monica lee,55540777300,A5057346446,40
379,taeil kim,woo soo kim,57205700445,A5000223592,40
402,kijin kim,woo soo kim,57223212678,A5000223592,40
1544,rachelle a yu,hua‐zhong yu,57224816504,A5028734301,40
1549,cindy yu,hua‐zhong yu,58917527200,A5028734301,40
585,alison yueh li,jia li,56039303800,A5100405681,40
496,amy huei yi lee,kelley lee,55477263200,A5019363540,40
897,stephen chengxi li,ming li,59545707900,A5100351426,40
751,kenneth liu,jiayi liu,57974743200,A5100370772,40
735,martin lee,kelley lee,55716885000,A5019363540,40
649,jiaxing li,chunmei li,58555571700,A5100427221,40
767,qingcan li,chunmei li,57205694562,A5100427221,40
1130,edward j park,youn‐il park,7402224891,A5072961887,40
788,xiaohan li,chunmei li,59248899100,A5100427221,40
763,linda c li,chunmei li,7501443732,A5100427221,40
643,kelsey lee,monica lee,58669083900,A5057346446,40
938,amy huey yi lee,monica lee,59661104900,A5057346446,40
429,kyeong-min kim,woo soo kim,57200325379,A5000223592,40
457,jeehye christine kim,tae‐ho kim,56671161000,A5100452164,40
575,binglin li,chunmei li,57205368212,A5100427221,40
1535,kevin ye,zuo‐guang ye,57204811060,A5029972713,40
491,daniel chonghwan lee,kelley lee,57219039850,A5019363540,40
497,amy huei yi lee,monica lee,55477263200,A5057346446,40
994,monica lee,kelley lee,57412158000,A5019363540,40
514,zoe long,nguyễn quang long,57204725472,A5018451341,40
458,jeehye christine kim,woo soo kim,56671161000,A5000223592,39
716,jong-in lee,kelley lee,58376421300,A5019363540,38
1107,rickie ma,hang ma,59458889300,A5024389928,38
804,hanhung lee,kelley lee,57473697300,A5019363540,38
728,dongmeng liu,jiayi liu,57202874971,A5100370772,38
946,baiyu li,cheng li,58262011500,A5100354297,38
