sv_name,oa_name,sv_id,oa_id,sv_pubs,oa_pubs,sv_cited,oa_cited,similarity_score
zhongchen zhang,hao zhang,57211522444,A5100397026,3,1370,23,63147,67
sean c anderson,gail s anderson,25930284300,A5046194198,34,144,1022,2665,67
zidong zhang,hao zhang,57951956700,A5100397026,1,1370,0,63147,67
yutian zhang,hao zhang,57215863345,A5100397026,1,1370,2,63147,67
lin zhang,hao zhang,59814155200,A5100397026,2,1370,20,63147,67
jiajie zhang,hao zhang,58659062200,A5100397026,1,1370,0,63147,67
shijia wang,jiacheng wang,57203011980,A5100727957,8,124,125,2294,67
yanshu zhang,hao zhang,58538506600,A5100397026,2,1370,6,63147,67
xin zhang,hao zhang,56591076800,A5100397026,26,1370,330,63147,67
shijia wang,qi wang,57203011980,A5100341251,8,126,125,1686,67
ivan lau,kelvin lau,59433616000,A5064093289,2,153,7,5467,67
beidou wang,qi wang,55775560600,A5100341251,8,126,767,1686,67
zheyuan li,cheng li,57224822134,A5100354297,3,840,49,7776,67
peter j young,robert n young,58158963700,A5063566841,2,244,5,9023,67
lishen zhang,hao zhang,57197774098,A5100397026,5,1370,349,63147,67
manyi li,ming li,57192068082,A5100351426,3,258,108,4282,67
brian li,ming li,57203169041,A5100351426,2,258,29,4282,67
wei li,jia li,57209238379,A5100405681,2,997,314,18198,67
xinglu wang,qi wang,58653787300,A5100341251,3,126,13,1686,67
fuyang zhang,hao zhang,57219650380,A5100397026,5,1370,77,63147,67
jin zhang,hao zhang,56652361000,A5100397026,5,1370,450,63147,67
yitong wang,jiacheng wang,59662621300,A5100727957,2,124,1,2294,67
yitong wang,qi wang,59662621300,A5100341251,2,126,1,1686,67
tian chen,yuxi chen,57220043419,A5100764265,4,140,7,1283,67
wonchul lee,monica lee,57264775600,A5057346446,2,232,21,5309,67
linyi li,ming li,57211756552,A5100351426,4,258,1,4282,67
mengyi wang,qi wang,58867040100,A5100341251,1,126,0,1686,67
mengyi wang,jiacheng wang,58867040100,A5100727957,1,124,0,2294,67
eric lee,monica lee,59710754100,A5057346446,1,232,0,5309,67
kenneth ck wong,jennifer s wong,57201989467,A5018101953,1,158,0,1037,67
tawei liu,jiayi liu,56555456900,A5100370772,7,172,300,2216,67
ethan brown,matthew brown,59467571400,A5041724055,1,114,2,7157,67
linwan xu,min xu,57434684800,A5100413849,1,796,4,12050,67
zixuan li,jia li,57225184392,A5100405681,1,997,57,18198,67
xinru li,ming li,57218939828,A5100351426,1,258,16,4282,67
keelan p watkins,g d watkins,55751438500,A5109056508,2,256,11,15453,67
yihan lin,qi lin,58184442400,A5102608112,2,89,21,665,67
zhengqing wang,jiacheng wang,58864775700,A5100727957,2,124,5,2294,67
jessica bouchard,martin bouchard,57190967389,A5103242379,23,175,234,3372,65
deby mcintosh,anthony r mcintosh,57218189453,A5050825978,1,500,7,42971,65
joshua d wright,stephen c wright,57190386017,A5042007466,4,145,90,9990,65
gabriela aceves sepúlveda,sergio a sepúlveda,57196318181,A5036506208,7,168,17,2633,65
sergio andrés sepúlveda,g sepúlveda,8694415200,A5003757835,19,68,86,221,65
ian j kennedy,christopher j kennedy,57195586827,A5112019938,1,127,10,3485,65
habib sadat chaudhury,sidhartha chaudhury,9039040400,A5089946703,83,94,1981,2867,65
erin lori williams,vance e williams,57346112600,A5010948237,6,139,41,1624,65
rebecca a macdonald,margaret macdonald,57191885835,A5034867632,6,122,29,923,65
stevie thompson,sarah k thompson,57220785307,A5038186298,1,189,11,4570,65
yanqing zhang,hao zhang,58250313900,A5100397026,3,1370,1,63147,64
peiling wang,jiacheng wang,55718418500,A5100727957,1,124,1,2294,64
jaspreet singh,bp singh,57209207252,A5103582429,2,99,4,1130,64
xiaolei wang,jiacheng wang,58527206800,A5100727957,1,124,7,2294,64
