,name1,name2,id1,id2,similarity_score
325,di zhao,jia zhao,A5025337002,A5101724268,80
326,judith lynne zaichkowsky,judy zaichkowsky,A5067340182,A5015084242,80
327,jia zhao,sida zhao,A5101724268,A5070688108,82
328,zhilin zhang,zhitian zhang,A5100723116,A5111217709,88
329,yuguo zhang,yuxuan zhang,A5103035767,A5100319892,78
330,haoyuan zhao,haoxuan zhou,A5114832292,A5006253199,83
331,haoxuan zhou,haobin zhou,A5006253199,A5108968499,78
332,yumeng zhuang,peng zhang,A5032031550,A5100364110,78
333,z zhang,n zhang,A5009011522,A5061007955,86
334,z zhang,j zhang,A5009011522,A5070372260,86
335,vanja zdjelar,ivana zdjelar,A5025292022,A5114472761,92
336,n zhang,j zhang,A5061007955,A5070372260,86
337,n zhang,peng zhang,A5061007955,A5100364110,82
