,sv_name,oa_name,sv_id,oa_id,similarity_score
473,kelley lee,kelley lee,55540777300,A5019363540,100
474,kelley lee,monica lee,55540777300,A5057346446,100
475,kelley lee,ki‐young lee,55540777300,A5100719654,100
476,kelley lee,daniel c lee,55540777300,A5100392989,100
477,daniel b leznoff,daniel b leznoff,6701478446,A5035673972,100
478,cheng li,jia li,57208500706,A5100405681,100
479,cheng li,cheng li,57208500706,A5100354297,100
480,cheng li,ming li,57208500706,A5100351426,100
481,cheng li,chunmei li,57208500706,A5100427221,100
482,david b lank,david b lank,7003901330,A5026174358,100
483,paul chi hang li,jia li,55638723000,A5100405681,100
484,paul chi hang li,cheng li,55638723000,A5100354297,100
485,paul chi hang li,ming li,55638723000,A5100351426,100
486,paul chi hang li,chunmei li,55638723000,A5100427221,100
487,dana s lepofsky,dana lepofsky,6603240852,A5044844162,100
488,carl a lowenberger,carl lowenberger,6701782068,A5047490994,100
489,angel my lin,feng lin,56444693800,A5101414835,100
490,angel my lin,qi lin,56444693800,A5102608112,100
491,daniel chonghwan lee,kelley lee,57219039850,A5019363540,100
492,daniel chonghwan lee,monica lee,57219039850,A5057346446,100
493,daniel chonghwan lee,ki‐young lee,57219039850,A5100719654,100
494,daniel chonghwan lee,daniel c lee,57219039850,A5100392989,100
495,mila b lazarova,mila lazarova,9041422000,A5060103559,100
496,amy huei yi lee,kelley lee,55477263200,A5019363540,100
497,amy huei yi lee,monica lee,55477263200,A5057346446,100
498,amy huei yi lee,ki‐young lee,55477263200,A5100719654,100
499,amy huei yi lee,daniel c lee,55477263200,A5100392989,100
500,angelica lim,angelica lim,36801929900,A5054803584,100
501,sieun lee,kelley lee,36644393200,A5019363540,100
502,sieun lee,monica lee,36644393200,A5057346446,100
503,sieun lee,ki‐young lee,36644393200,A5100719654,100
504,sieun lee,daniel c lee,36644393200,A5100392989,100
505,michel r leroux,michel r leroux,7101724540,A5031592364,100
506,henry wj lin,feng lin,56159860200,A5101414835,100
507,henry wj lin,qi lin,56159860200,A5102608112,100
508,b l liu,b liu,58372717600,A5114378471,100
509,b l liu,helen liu,58372717600,A5101610756,100
510,b l liu,yan‐jun liu,58372717600,A5100349652,100
511,b l liu,jiayi liu,58372717600,A5100370772,100
512,eric lin,feng lin,36921090100,A5101414835,100
513,eric lin,qi lin,36921090100,A5102608112,100
514,zoe long,nguyễn quang long,57204725472,A5018451341,100
515,careesa chang liu,b liu,42661778400,A5114378471,100
516,careesa chang liu,helen liu,42661778400,A5101610756,100
517,careesa chang liu,yan‐jun liu,42661778400,A5100349652,100
518,careesa chang liu,jiayi liu,42661778400,A5100370772,100
519,jens lassen,j lassen,23094920500,A5088788971,100
520,mario liotti,mario liotti,7004825097,A5087177266,100
521,chunmei li,jia li,55696026700,A5100405681,100
522,chunmei li,cheng li,55696026700,A5100354297,100
523,chunmei li,ming li,55696026700,A5100351426,100
524,chunmei li,chunmei li,55696026700,A5100427221,100
525,chelsey lee,kelley lee,57207257893,A5019363540,100
526,chelsey lee,monica lee,57207257893,A5057346446,100
527,chelsey lee,ki‐young lee,57207257893,A5100719654,100
528,chelsey lee,daniel c lee,57207257893,A5100392989,100
529,zenghui liu,b liu,56599407500,A5114378471,100
530,zenghui liu,helen liu,56599407500,A5101610756,100
531,zenghui liu,yan‐jun liu,56599407500,A5100349652,100
532,zenghui liu,jiayi liu,56599407500,A5100370772,100
533,dennis y liu,b liu,57203150185,A5114378471,100
534,dennis y liu,helen liu,57203150185,A5101610756,100
535,dennis y liu,yan‐jun liu,57203150185,A5100349652,100
536,dennis y liu,jiayi liu,57203150185,A5100370772,100
537,michelle levy,michelle levy,55574212275,A5016934275,100
538,richard a lockhart,richard lockhart,7004445683,A5035238514,100
539,melanie lee,kelley lee,57191731525,A5019363540,100
540,melanie lee,monica lee,57191731525,A5057346446,100
541,melanie lee,ki‐young lee,57191731525,A5100719654,100
542,melanie lee,daniel c lee,57191731525,A5100392989,100
543,zhida li,jia li,57190841490,A5100405681,100
544,zhida li,cheng li,57190841490,A5100354297,100
545,zhida li,ming li,57190841490,A5100351426,100
546,zhida li,chunmei li,57190841490,A5100427221,100
547,belinda li,jia li,57215578322,A5100405681,100
548,belinda li,cheng li,57215578322,A5100354297,100
549,belinda li,ming li,57215578322,A5100351426,100
550,belinda li,chunmei li,57215578322,A5100427221,100
551,andrew r lewis,steven lewis,13204505400,A5044719058,100
552,chunhong liu,b liu,57218798436,A5114378471,100
553,chunhong liu,helen liu,57218798436,A5101610756,100
554,chunhong liu,yan‐jun liu,57218798436,A5100349652,100
555,chunhong liu,jiayi liu,57218798436,A5100370772,100
556,tingan li,jia li,57210262931,A5100405681,100
557,tingan li,cheng li,57210262931,A5100354297,100
558,tingan li,ming li,57210262931,A5100351426,100
559,tingan li,chunmei li,57210262931,A5100427221,100
560,gaoyang liu,b liu,57203062038,A5114378471,100
561,gaoyang liu,helen liu,57203062038,A5101610756,100
562,gaoyang liu,yan‐jun liu,57203062038,A5100349652,100
563,gaoyang liu,jiayi liu,57203062038,A5100370772,100
564,yungshan lee,kelley lee,54882053400,A5019363540,100
565,yungshan lee,monica lee,54882053400,A5057346446,100
566,yungshan lee,ki‐young lee,54882053400,A5100719654,100
567,yungshan lee,daniel c lee,54882053400,A5100392989,100
568,pengyu liu,b liu,57204160662,A5114378471,100
569,pengyu liu,helen liu,57204160662,A5101610756,100
570,pengyu liu,yan‐jun liu,57204160662,A5100349652,100
571,pengyu liu,jiayi liu,57204160662,A5100370772,100
572,binglin li,jia li,57205368212,A5100405681,100
573,binglin li,cheng li,57205368212,A5100354297,100
574,binglin li,ming li,57205368212,A5100351426,100
575,binglin li,chunmei li,57205368212,A5100427221,100
576,shuxing li,jia li,55315987100,A5100405681,100
577,shuxing li,cheng li,55315987100,A5100354297,100
578,shuxing li,ming li,55315987100,A5100351426,100
579,shuxing li,chunmei li,55315987100,A5100427221,100
580,hoikwan lau,kelvin lau,36864012100,A5064093289,100
581,frank js lee,kelley lee,23484073300,A5019363540,100
582,frank js lee,monica lee,23484073300,A5057346446,100
583,frank js lee,ki‐young lee,23484073300,A5100719654,100
584,frank js lee,daniel c lee,23484073300,A5100392989,100
585,alison yueh li,jia li,56039303800,A5100405681,100
586,alison yueh li,cheng li,56039303800,A5100354297,100
587,alison yueh li,ming li,56039303800,A5100351426,100
588,alison yueh li,chunmei li,56039303800,A5100427221,100
589,qing liu,b liu,56413233700,A5114378471,100
590,qing liu,helen liu,56413233700,A5101610756,100
591,qing liu,yan‐jun liu,56413233700,A5100349652,100
592,qing liu,jiayi liu,56413233700,A5100370772,100
593,feng lin,feng lin,57191371558,A5101414835,100
594,feng lin,qi lin,57191371558,A5102608112,100
595,wenzao li,jia li,56089546300,A5100405681,100
596,wenzao li,cheng li,56089546300,A5100354297,100
597,wenzao li,ming li,56089546300,A5100351426,100
598,wenzao li,chunmei li,56089546300,A5100427221,100
599,jaeyong lee,kelley lee,39762111800,A5019363540,100
600,jaeyong lee,monica lee,39762111800,A5057346446,100
601,jaeyong lee,ki‐young lee,39762111800,A5100719654,100
602,jaeyong lee,daniel c lee,39762111800,A5100392989,100
603,jeonghun lee,kelley lee,57206734156,A5019363540,100
604,jeonghun lee,monica lee,57206734156,A5057346446,100
605,jeonghun lee,ki‐young lee,57206734156,A5100719654,100
606,jeonghun lee,daniel c lee,57206734156,A5100392989,100
607,guiliang liu,b liu,57204467338,A5114378471,100
608,guiliang liu,helen liu,57204467338,A5101610756,100
609,guiliang liu,yan‐jun liu,57204467338,A5100349652,100
610,guiliang liu,jiayi liu,57204467338,A5100370772,100
611,tawei liu,b liu,56555456900,A5114378471,100
612,tawei liu,helen liu,56555456900,A5101610756,100
613,tawei liu,yan‐jun liu,56555456900,A5100349652,100
614,tawei liu,jiayi liu,56555456900,A5100370772,100
615,xin li,jia li,57189987947,A5100405681,100
616,xin li,cheng li,57189987947,A5100354297,100
617,xin li,ming li,57189987947,A5100351426,100
618,xin li,chunmei li,57189987947,A5100427221,100
619,arita li liu,b liu,57200987873,A5114378471,100
620,arita li liu,helen liu,57200987873,A5101610756,100
621,arita li liu,yan‐jun liu,57200987873,A5100349652,100
622,arita li liu,jiayi liu,57200987873,A5100370772,100
623,kun liu,b liu,57217039511,A5114378471,100
624,kun liu,helen liu,57217039511,A5101610756,100
625,kun liu,yan‐jun liu,57217039511,A5100349652,100
626,kun liu,jiayi liu,57217039511,A5100370772,100
627,jiarui li,jia li,59785163100,A5100405681,100
628,jiarui li,cheng li,59785163100,A5100354297,100
629,jiarui li,ming li,59785163100,A5100351426,100
630,jiarui li,chunmei li,59785163100,A5100427221,100
631,lisa lin,feng lin,56537319300,A5101414835,100
632,lisa lin,qi lin,56537319300,A5102608112,100
633,em g lim,angelica lim,57831947600,A5054803584,100
634,jiangchuan liu,b liu,59061428700,A5114378471,100
635,jiangchuan liu,helen liu,59061428700,A5101610756,100
636,jiangchuan liu,yan‐jun liu,59061428700,A5100349652,100
637,jiangchuan liu,jiayi liu,59061428700,A5100370772,100
638,angelica (min hye) lee,kelley lee,57215776540,A5019363540,100
639,angelica (min hye) lee,monica lee,57215776540,A5057346446,100
640,angelica (min hye) lee,ki‐young lee,57215776540,A5100719654,100
641,angelica (min hye) lee,daniel c lee,57215776540,A5100392989,100
642,kelsey lee,kelley lee,58669083900,A5019363540,100
643,kelsey lee,monica lee,58669083900,A5057346446,100
644,kelsey lee,ki‐young lee,58669083900,A5100719654,100
645,kelsey lee,daniel c lee,58669083900,A5100392989,100
646,jiaxing li,jia li,58555571700,A5100405681,100
647,jiaxing li,cheng li,58555571700,A5100354297,100
648,jiaxing li,ming li,58555571700,A5100351426,100
649,jiaxing li,chunmei li,58555571700,A5100427221,100
650,hsufeng lee,kelley lee,55924615100,A5019363540,100
651,hsufeng lee,monica lee,55924615100,A5057346446,100
652,hsufeng lee,ki‐young lee,55924615100,A5100719654,100
653,hsufeng lee,daniel c lee,55924615100,A5100392989,100
654,chingchiu lin,feng lin,57155348500,A5101414835,100
655,chingchiu lin,qi lin,57155348500,A5102608112,100
656,yejia liu,b liu,57205377655,A5114378471,100
657,yejia liu,helen liu,57205377655,A5101610756,100
658,yejia liu,yan‐jun liu,57205377655,A5100349652,100
659,yejia liu,jiayi liu,57205377655,A5100370772,100
660,xiaorui li,jia li,56306779600,A5100405681,100
661,xiaorui li,cheng li,56306779600,A5100354297,100
662,xiaorui li,ming li,56306779600,A5100351426,100
663,xiaorui li,chunmei li,56306779600,A5100427221,100
664,linyi li,jia li,57211756552,A5100405681,100
665,linyi li,cheng li,57211756552,A5100354297,100
666,linyi li,ming li,57211756552,A5100351426,100
667,linyi li,chunmei li,57211756552,A5100427221,100
668,wing yin venus lau,kelvin lau,57216796359,A5064093289,100
669,rebekah hy lee,kelley lee,57221940572,A5019363540,100
670,rebekah hy lee,monica lee,57221940572,A5057346446,100
671,rebekah hy lee,ki‐young lee,57221940572,A5100719654,100
672,rebekah hy lee,daniel c lee,57221940572,A5100392989,100
673,shanna my li,jia li,57221738372,A5100405681,100
674,shanna my li,cheng li,57221738372,A5100354297,100
675,shanna my li,ming li,57221738372,A5100351426,100
676,shanna my li,chunmei li,57221738372,A5100427221,100
677,pinyao liu,b liu,57703884300,A5114378471,100
678,pinyao liu,helen liu,57703884300,A5101610756,100
679,pinyao liu,yan‐jun liu,57703884300,A5100349652,100
680,pinyao liu,jiayi liu,57703884300,A5100370772,100
681,heng li,jia li,57419438300,A5100405681,100
682,heng li,cheng li,57419438300,A5100354297,100
683,heng li,ming li,57419438300,A5100351426,100
684,heng li,chunmei li,57419438300,A5100427221,100
685,anjian li,jia li,57218566585,A5100405681,100
686,anjian li,cheng li,57218566585,A5100354297,100
687,anjian li,ming li,57218566585,A5100351426,100
688,anjian li,chunmei li,57218566585,A5100427221,100
689,haijuan li,jia li,57218401984,A5100405681,100
690,haijuan li,cheng li,57218401984,A5100354297,100
691,haijuan li,ming li,57218401984,A5100351426,100
692,haijuan li,chunmei li,57218401984,A5100427221,100
693,chaochun liu,b liu,57203659208,A5114378471,100
694,chaochun liu,helen liu,57203659208,A5101610756,100
695,chaochun liu,yan‐jun liu,57203659208,A5100349652,100
696,chaochun liu,jiayi liu,57203659208,A5100370772,100
697,jiayi liu,b liu,58550253900,A5114378471,100
698,jiayi liu,helen liu,58550253900,A5101610756,100
699,jiayi liu,yan‐jun liu,58550253900,A5100349652,100
700,jiayi liu,jiayi liu,58550253900,A5100370772,100
701,manyi li,jia li,57192068082,A5100405681,100
702,manyi li,cheng li,57192068082,A5100354297,100
703,manyi li,ming li,57192068082,A5100351426,100
704,manyi li,chunmei li,57192068082,A5100427221,100
705,zheyuan li,jia li,57224822134,A5100405681,100
706,zheyuan li,cheng li,57224822134,A5100354297,100
707,zheyuan li,ming li,57224822134,A5100351426,100
708,zheyuan li,chunmei li,57224822134,A5100427221,100
709,xiaoxue liu,b liu,57204556952,A5114378471,100
710,xiaoxue liu,helen liu,57204556952,A5101610756,100
711,xiaoxue liu,yan‐jun liu,57204556952,A5100349652,100
712,xiaoxue liu,jiayi liu,57204556952,A5100370772,100
713,zhi yih lim,angelica lim,57215605423,A5054803584,100
714,lisette lockhart,richard lockhart,57212017911,A5035238514,100
715,liyi lim,angelica lim,57323476000,A5054803584,100
716,jong-in lee,kelley lee,58376421300,A5019363540,100
717,jong-in lee,monica lee,58376421300,A5057346446,100
718,jong-in lee,ki‐young lee,58376421300,A5100719654,100
719,jong-in lee,daniel c lee,58376421300,A5100392989,100
720,david long,nguyễn quang long,57236120200,A5018451341,100
721,yerin lee,kelley lee,57203855079,A5019363540,100
722,yerin lee,monica lee,57203855079,A5057346446,100
723,yerin lee,ki‐young lee,57203855079,A5100719654,100
